id;created_by;created_date;modified_by;modified_date;mediation_user_id_id;mediation_role_id_id
1;empower;2020-05-11T03:38:47;Intelligent;2020-05-10T17:37:09;1;1
2;Product;2020-05-10T20:05:56;Total;2020-05-11T10:33:57;2;2
3;Books Unbranded;2020-05-10T18:04:55;front-end;2020-05-10T16:06:59;3;3
4;partnerships;2020-05-10T21:35:55;auxiliary;2020-05-11T02:55:11;4;4
5;Czech Koruna;2020-05-10T23:40:04;lavender Mauritius plug-and-play;2020-05-11T15:50:30;5;5
6;eco-centric Chad;2020-05-11T03:45:40;bypassing;2020-05-11T03:54:12;6;6
7;Ohio partnerships transmitting;2020-05-11T00:07:41;Investor Analyst;2020-05-11T02:33:42;7;7
8;Throughway Small Center;2020-05-10T23:43:26;Ergonomic Spring copying;2020-05-11T11:49:06;8;8
9;Computer Architect Triple-buffered;2020-05-11T08:50:00;transmit;2020-05-10T23:01:43;9;9
10;convergence Buckinghamshire;2020-05-10T20:54:18;Generic Rubber;2020-05-11T12:16:06;10;10
